f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,teacher,current_eval,game_idx,move_idx
2,2,5,39,0,6,1,1,13,2,4,8,13,307034.800,313940,0,7900
4,2,4,48,0,13,0,3,14,1,0,7,11,343974.800,355328,0,7950
1,1,1,39,0,5,1,4,9,0,2,13,4,277829.650,266202,0,8000
3,2,6,48,0,16,1,3,10,0,3,6,9,347344.300,362513,0,8050
4,3,3,54,0,16,1,2,16,3,3,5,13,378926.150,396314,0,8100
1,1,1,41,0,2,1,2,13,1,7,7,2,288088.150,261414,0,8150
2,2,3,50,0,10,1,2,10,4,2,6,6,354284.300,339474,0,8200
2,1,4,43,0,7,1,2,11,0,3,9,3,305043.800,299385,0,8250
2,0,5,39,0,10,1,3,9,0,3,11,10,305006.800,313086,0,8300
2,0,3,48,0,9,0,3,6,3,0,4,9,319618.250,313727,0,8350
2,5,0,55,0,17,1,4,7,2,2,7,3,355932.150,349114,0,8400
2,3,0,45,0,5,1,1,11,0,3,3,5,263364.350,262533,0,8450
2,0,4,45,0,8,1,2,9,4,6,7,2,321606.800,317105,0,8500
4,0,4,46,0,13,1,4,8,5,2,12,11,360628.500,367929,0,8550
3,4,3,57,0,22,0,3,19,6,0,7,11,410766.050,438323,0,8600
3,2,2,45,0,11,1,2,11,1,1,6,10,305864.550,312718,0,8650
2,4,5,42,0,9,0,3,12,1,0,13,10,341570.500,335690,0,8700
3,3,3,44,0,9,1,2,8,2,1,7,12,304427.500,315127,0,8750
2,1,4,48,0,6,1,2,10,1,4,6,6,317303.950,318986,0,8800
1,3,3,43,0,15,1,3,17,2,2,13,3,341204.700,342852,0,8850
4,0,4,51,0,7,1,1,13,3,3,2,7,336082.800,336510,0,8900
3,3,3,46,0,14,0,4,12,3,0,12,6,346976.050,351182,0,8950
4,2,2,52,0,22,1,3,10,6,4,9,13,405805.750,410625,0,9000
2,1,0,45,0,8,0,2,7,3,0,5,5,302758.450,274551,0,9050
3,1,0,47,0,21,1,4,15,6,1,11,11,364449.400,377849,0,9100
3,5,7,45,0,16,0,3,13,3,0,9,15,383541.150,388937,0,9150
3,3,6,46,0,7,1,1,8,4,1,8,10,351567.800,343248,0,9200
2,3,6,44,0,15,1,3,16,0,3,9,10,355669.650,363071,0,9250
2,3,2,48,0,10,1,1,10,1,4,5,5,313774.500,311639,0,9300
3,0,3,41,0,8,0,2,13,0,0,6,12,290198.500,294770,0,9350
2,1,3,45,0,10,1,2,9,1,5,9,3,317274.850,312788,0,9400
2,2,2,49,0,6,1,2,11,2,2,3,9,305649.150,309627,0,9450
3,2,7,41,0,12,1,3,15,4,3,20,5,355427.400,384605,0,9500
3,2,2,47,0,4,1,1,11,0,3,4,5,286570.250,285749,0,9550
0,1,1,43,0,8,1,4,9,1,2,10,0,292619.850,276824,0,9600
2,1,1,47,0,17,1,4,9,0,1,7,2,320611.050,311131,0,9650
